Daily Noon Rates
Date Range: 2006-02-22 - 2016-02-22

USD = U.S. dollar (noon)
		

Summary,Date,USD
Low,2007-11-07,0.9170
High,2016-01-20,1.4589
Average,2006-02-22 - 2016-02-22,1.0883

Date,USD
2016-02-22, 1.3685
2016-02-19, 1.3801
2016-02-18, 1.3721
2016-02-17, 1.3684
2016-02-16, 1.3860
2016-02-15, Bank holiday
2016-02-12, 1.3835
2016-02-11, 1.3930
2016-02-10, 1.3968
2016-02-09, 1.3820
2016-02-08, 1.3921
2016-02-05, 1.3876
2016-02-04, 1.3726
2016-02-03, 1.3846
2016-02-02, 1.4040
2016-02-01, 1.4006
2016-01-29, 1.4080
2016-01-28, 1.4073
2016-01-27, 1.4043
2016-01-26, 1.4062
2016-01-25, 1.4252
2016-01-22, 1.4151
2016-01-21, 1.4243
2016-01-20, 1.4589
2016-01-19, 1.4514
2016-01-18, 1.4507
2016-01-15, 1.4528
2016-01-14, 1.4373
2016-01-13, 1.4294
2016-01-12, 1.4291
2016-01-11, 1.4205
2016-01-08, 1.4151
2016-01-07, 1.4061
2016-01-06, 1.4084
2016-01-05, 1.3993
2016-01-04, 1.3969
2016-01-01, Bank holiday
2015-12-31, 1.3840
2015-12-30, 1.3884
2015-12-29, 1.3850
2015-12-28, Bank holiday
2015-12-25, Bank holiday
2015-12-24, 1.3845
2015-12-23, 1.3860
2015-12-22, 1.3929
2015-12-21, 1.3990
2015-12-18, 1.3882
2015-12-17, 1.3970
2015-12-16, 1.3805
2015-12-15, 1.3728
2015-12-14, 1.3733
2015-12-11, 1.3696
2015-12-10, 1.3599
2015-12-09, 1.3595
2015-12-08, 1.3593
2015-12-07, 1.3508
2015-12-04, 1.3365
2015-12-03, 1.3394
2015-12-02, 1.3360
2015-12-01, 1.3372
2015-11-30, 1.3333
2015-11-27, 1.3360
2015-11-26, 1.3300
2015-11-25, 1.3301
2015-11-24, 1.3308
2015-11-23, 1.3357
2015-11-20, 1.3338
2015-11-19, 1.3267
2015-11-18, 1.3353
2015-11-17, 1.3324
2015-11-16, 1.3353
2015-11-13, 1.3332
2015-11-12, 1.3307
2015-11-11, Bank holiday
2015-11-10, 1.3259
2015-11-09, 1.3275
2015-11-06, 1.3308
2015-11-05, 1.3167
2015-11-04, 1.3164
2015-11-03, 1.3106
2015-11-02, 1.3095
2015-10-30, 1.3083
2015-10-29, 1.3170
2015-10-28, 1.3148
2015-10-27, 1.3241
2015-10-26, 1.3134
2015-10-23, 1.3172
2015-10-22, 1.3088
2015-10-21, 1.3116
2015-10-20, 1.2974
2015-10-19, 1.2998
2015-10-16, 1.2933
2015-10-15, 1.2904
2015-10-14, 1.2982
2015-10-13, 1.2986
2015-10-12, Bank holiday
2015-10-09, 1.2946
2015-10-08, 1.3018
2015-10-07, 1.3036
2015-10-06, 1.3056
2015-10-05, 1.3085
2015-10-02, 1.3214
2015-10-01, 1.3242
2015-09-30, 1.3394
2015-09-29, 1.3413
2015-09-28, 1.3361
2015-09-25, 1.3325
2015-09-24, 1.3351
2015-09-23, 1.3315
2015-09-22, 1.3278
2015-09-21, 1.3250
2015-09-18, 1.3147
2015-09-17, 1.3186
2015-09-16, 1.3178
2015-09-15, 1.3263
2015-09-14, 1.3270
