Year,Temp_CMIP5,Temp_obs
1885,286.4314,-0.2
1886,286.5153,-0.18
1887,286.5476,-0.26
1888,286.5906,-0.17
1889,286.6078,-0.09
1890,286.5961,-0.3
1891,286.5514,-0.26
1892,286.6037,-0.3
1893,286.6661,-0.34
1894,286.7016,-0.3
1895,286.7505,-0.25
1896,286.7516,-0.1
1897,286.7249,-0.15
1898,286.7317,-0.28
1899,286.7686,-0.16
1900,286.7797,-0.11
1901,286.783,-0.17
1902,286.7658,-0.26
1903,286.5688,-0.35
1904,286.5913,-0.41
1905,286.6474,-0.29
1906,286.6871,-0.24
1907,286.7153,-0.38
1908,286.7426,-0.43
1909,286.7483,-0.43
1910,286.7825,-0.42
1911,286.7843,-0.44
1912,286.7497,-0.38
1913,286.6963,-0.35
1914,286.7553,-0.19
1915,286.8027,-0.11
1916,286.8057,-0.31
1917,286.8206,-0.34
1918,286.8549,-0.24
1919,286.844,-0.26
1920,286.8804,-0.24
1921,286.8819,-0.16
1922,286.8867,-0.25
1923,286.889,-0.23
1924,286.907,-0.22
1925,286.9061,-0.15
1926,286.907,-0.06
1927,286.9344,-0.13
1928,286.9241,-0.13
1929,286.8976,-0.24
1930,286.9033,-0.06
1931,286.9123,-0.03
1932,286.9241,-0.05
1933,286.9006,-0.2
1934,286.9005,-0.05
1935,286.95,-0.08
1936,286.9685,-0.05
1937,286.9913,0.06
1938,286.977,0.08
1939,286.9644,0.07
1940,286.9573,0.11
1941,286.9865,0.16
1942,286.9826,0.12
1943,286.9634,0.11
1944,286.9813,0.22
1945,286.9915,0.09
1946,286.9915,-0.05
1947,286.9955,-0.05
1948,287.0132,-0.06
1949,287.0167,-0.07
1950,286.9838,-0.16
1951,286.9824,0
1952,286.9868,0.04
1953,286.9711,0.12
1954,286.9854,-0.1
1955,286.9892,-0.11
1956,287.0015,-0.17
1957,287.0281,0.06
1958,287.0248,0.12
1959,287.0141,0.07
1960,287.0352,0.02
1961,287.0292,0.1
1962,287.0064,0.12
1963,286.928,0.14
1964,286.7844,-0.12
1965,286.8178,-0.06
1966,286.8729,0
1967,286.9138,0.02
1968,286.9214,0.01
1969,286.9018,0.11
1970,286.9363,0.07
1971,286.9925,-0.03
1972,287.0144,0.05
1973,287.0202,0.19
1974,287.0376,-0.05
1975,287.0117,0.02
1976,287.0275,-0.08
1977,287.061,0.18
1978,287.1127,0.1
1979,287.1512,0.18
1980,287.1874,0.23
1981,287.2185,0.27
1982,287.1587,0.15
1983,287.0415,0.32
1984,287.1094,0.13
1985,287.16,0.11
1986,287.202,0.2
1987,287.2511,0.33
1988,287.2921,0.34
1989,287.3228,0.27
1990,287.3892,0.4
1991,287.3229,0.38
1992,287.0772,0.24
1993,287.1496,0.26
1994,287.2232,0.33
1995,287.3015,0.45
1996,287.3884,0.32
1997,287.4489,0.52
1998,287.4612,0.64
1999,287.4983,0.46
2000,287.5522,0.43
2001,287.6086,0.55
2002,287.6524,0.61
2003,287.6664,0.62
2004,287.6774,0.58
2005,287.7097,0.65
2006,287.7141,0.6
2007,287.7313,0.59
2008,287.7447,0.51
2009,287.7529,0.6
2010,287.7727,0.66
2011,287.7983,0.53
2012,287.8479,0.58
2013,287.8649,0.62
