# Variables,,,,,
"# Data variables follow that are preceded by ""##"" in columns one and two.",,,,,
"# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)",,,,,
#,,,,,
"## age_AD age, , , years AD, , , , ,N",,,,,
"## nao_mc_mean model-constrained multi-proxy ensemble NAO mean ,,,standardised units,winter (DJF),Climate Reconstructions,ensemble of 100 model-constrained NAO reconstructions,,N",,,,,
"## nao_mc_min model-constrained multi-proxy ensemble NAO minimum,,,standardised units,winter (DJF),Climate Reconstructions,ensemble spread,,N",,,,,
"## nao_mc_max model-constrained multi-proxy ensemble NAO maximum,,,standardised units,winter (DJF),Climate Reconstructions,ensemble spread,,N",,,,,
"## nao_mc_mean-2SE regression uncertainty as departure from the ensemble mean of -2 standard errors ,,2 standard errors of the regression,standardised units,winter (DJF),Climate Reconstructions,regression errors,,N",,,,,
"## nao_mc_mean+2SE regression uncertainty as departure from the ensemble mean of 2 standard errors ,,2 standard errors of the regression,standardised units,winter (DJF),Climate Reconstructions,regression errors,,N",,,,,
#,,,,,
#------------------------,,,,,
Year,nao_mc_mean,nao_mc_min,nao_mc_max,nao_mc_mean-2SE,nao_mc_mean+2SE
1969,-1.535,-1.771,-1.24,-3.977,0.966
1968,-0.369,-0.829,0.126,-3.035,2.333
1967,-0.572,-1.304,-0.168,-3.51,2.038
1966,-1.525,-1.915,-1.212,-4.121,0.995
1965,-1.103,-1.602,-0.554,-3.809,1.652
1964,-2.085,-2.509,-1.653,-4.715,0.554
1963,-2.275,-2.852,-1.558,-5.058,0.648
1962,-2.261,-2.669,-1.314,-4.875,0.892
1961,-1.837,-2.314,-1.31,-4.52,0.896
1960,-1.754,-2.218,-1.271,-4.424,0.935
1959,-1.84,-2.272,-1.351,-4.478,0.856
1958,-1.436,-2.022,-0.541,-4.229,1.666
1957,-0.66,-1.291,0.064,-3.498,2.27
1956,-1.053,-1.615,-0.355,-3.821,1.851
1955,-1.195,-1.588,-0.87,-3.794,1.336
1954,-0.976,-1.232,-0.719,-3.438,1.487
1953,-1.373,-1.694,-0.902,-3.901,1.304
1952,-0.387,-0.6,-0.102,-2.806,2.105
1951,-0.098,-0.625,0.436,-2.831,2.642
1950,-0.072,-0.391,0.246,-2.597,2.452
1949,-0.524,-0.795,-0.232,-3.001,1.974
1948,-1.129,-1.487,-0.73,-3.694,1.477
1947,-1.639,-2.199,-1.146,-4.405,1.06
1946,-1.379,-1.794,-1.051,-4,1.155
1945,-0.125,-0.601,0.653,-2.807,2.859
1944,-0.509,-0.999,-0.108,-3.205,2.098
1943,-0.645,-1.168,-0.164,-3.374,2.042
1942,-2.169,-2.634,-1.408,-4.84,0.799
1941,-0.336,-0.927,0.576,-3.133,2.782
1940,-2.527,-3.193,-1.663,-5.4,0.544
1939,-0.108,-0.418,0.373,-2.624,2.579
1938,-0.339,-0.859,0.556,-3.065,2.763
1937,0.352,-0.087,0.82,-2.294,3.026
1936,-0.75,-1.231,0.104,-3.437,2.31
1935,-1.018,-1.437,-0.392,-3.644,1.814
1934,-1.172,-1.638,-0.602,-3.845,1.604
1933,0.228,-0.102,0.489,-2.308,2.696
1932,-1.018,-1.583,-0.385,-3.789,1.822
1931,0.091,-0.247,0.449,-2.453,2.656
1930,0.337,0.063,0.485,-2.144,2.691
1929,-0.746,-1.278,-0.248,-3.485,1.958
1928,0.401,-0.091,0.72,-2.298,2.926
1927,0.831,0.426,1.08,-1.78,3.286
1926,0.841,0.272,1.267,-1.934,3.473
1925,1.601,1.172,1.96,-1.034,4.167
1924,0.572,-0.038,1,-2.244,3.206
1923,0.315,-0.314,0.893,-2.521,3.099
1922,1.042,0.221,1.724,-1.985,3.931
1921,1.057,0.592,1.565,-1.614,3.772
1920,1.658,1.236,2.154,-0.97,4.36
1919,2.03,1.566,2.593,-0.641,4.799
1918,1.583,1.114,1.988,-1.093,4.194
1917,-0.166,-0.623,0.48,-2.829,2.686
1916,0.282,-0.375,0.863,-2.581,3.069
