"Year","Month","Value"
1985,1,0.6
1985,2,0.1
1985,3,0.35
1985,4,0.7
1985,5,0.8
1985,6,1.15
1985,7,1.1
1985,8,1.1
1985,9,1.1
1985,10,0.85
1985,11,1
1985,12,0.9
1986,1,0.840322580645161
1986,2,0.922849462365591
1986,3,0.45
1986,4,0.55
1986,5,1.05
1986,6,0.7
1986,7,1.1
1986,8,1
1986,9,1.1
1986,10,1.1
1986,11,1
1986,12,0.8
1987,1,1.4
1987,2,2.6
1987,3,1
1987,4,0.45
1987,5,0.9
1987,6,0.8
1987,7,1.1
1987,8,1.1
1987,9,0.7
1987,10,1
1987,11,1
1987,12,1.2
1988,1,0.4
1988,2,0.5
1988,3,1.8
1988,4,0.75
1988,5,0.55
1988,6,0.9
1988,7,1.1
1988,8,1.1
1988,9,1.05
1988,10,1.2
1988,11,0.8
1988,12,1.3
1989,1,1
1989,2,1.6
1989,3,1
1989,4,0.65
1989,5,0.55
1989,6,0.65
1989,7,0.5
1989,8,1
1989,9,1.15
1989,10,0.7
1989,11,0.8
1989,12,1
1990,1,1.4
1990,2,0.5
1990,3,0.8
1990,4,0.6
1990,5,0.6
1990,6,0.8
1990,7,0.6
1990,8,0.933333333333333
1990,9,1.05
1990,10,0.35
1990,11,0.3
1990,12,0.5
1991,1,0.7
1991,2,0.5
1991,3,0.65
1991,4,1
1991,5,0.95
1991,6,1.15
1991,7,1
1991,8,1.4
1991,9,1.3
1991,10,1.35
1991,11,1.2
1991,12,1
1992,1,1.1
1992,2,1.4
1992,3,0.3
1992,4,0.6
1992,5,0.8
1992,6,0.9
1992,7,1.1
1992,8,1.1
1992,9,1.2
1992,10,1.1
1992,11,0.6
1992,12,1
1993,1,0.4
1993,2,1.5
1993,3,0.25
1993,4,0.25
1993,5,0.85
1993,6,1.1
1993,7,1.15
1993,8,1.25
1993,9,1
1993,10,1.1
1993,11,1.2
1993,12,0.3
1994,1,1.8
1994,2,0.6
1994,3,0.65
1994,4,0.45
1994,5,0.9
1994,6,1
1994,7,0.95
1994,8,1
1994,9,1.1
1994,10,0.85
1994,11,0.8
1994,12,0.6
1995,1,1.3
1995,2,0.9
1995,3,0.8
1995,4,0.7
1995,5,1
1995,6,0.85
1995,7,1.25
1995,8,1.15
1995,9,1.35
1995,10,1.15
1995,11,0.1
1995,12,1.4
1996,1,0.3
1996,2,0.2
1996,3,0.8
1996,4,0.75
1996,5,0.5
1996,6,0.8
1996,7,1.05
1996,8,1.15
1996,9,0.6
1996,10,0.9
1996,11,0.4
1996,12,0.5
1997,1,0.4
1997,2,0.55
1997,3,0.6
1997,4,0.8
1997,5,0.95
1997,6,1.1
1997,7,1.05
1997,8,1.15
1997,9,1
1997,10,1.4
1997,11,0.9
1997,12,1.3
1998,1,0.85
1998,2,0.5
1998,3,0.3
1998,4,0.7
1998,5,0.7
1998,6,1.1
1998,7,1.05
1998,8,1.15
1998,9,1.4
1998,10,1.2
1998,11,0.9
1998,12,1.5
1999,1,1.3
1999,2,0.8
1999,3,0.6
1999,4,0.6
1999,5,1.1
1999,6,1.2
1999,7,1.15
1999,8,1.2
1999,9,0.6
1999,10,0.8
1999,11,1
1999,12,1
2000,1,0.7
2000,2,2.2
2000,3,0.6
2000,4,0.4
2000,5,0.95
2000,6,0.8
2000,7,1.05
2000,8,1.2
2000,9,1.4
2000,10,1.3
2000,11,1.2
2000,12,1.4
2001,1,1.3
2001,2,1.4
2001,3,0.5
2001,4,0.4
2001,5,0.85
2001,6,0.6
2001,7,1.05
2001,8,1.3
2001,9,1.2
2001,10,1
2001,11,1.5
2001,12,1.3
2002,1,1.4
2002,2,0.7
2002,3,1.1
2002,4,0.65
2002,5,0.5
2002,6,0.7
2002,7,1.05
2002,8,0.9
2002,9,1.4
2002,10,1.1
2002,11,1.4
2002,12,1.4
2003,1,1.3
2003,2,0.65
2003,3,0.5
2003,4,0.55
2003,5,0.9
2003,6,0.5
2003,7,1.05
2003,8,0.55
2003,9,0.55
2003,10,0.8
2003,11,1
2003,12,0.4
2004,1,0.5
2004,2,1.5
2004,3,0.6
2004,4,0.55
2004,5,0.55
2004,6,0.55
