Accessed from https://nsidc.org/data/lake_river_ice/freezethaw.html on 2023-02-15; request: country = 'RUSSIA' AND lakecode LIKE '%NG1%' AND lakeorriver = 'L'; sored by: season,,,,,,,,,,,,,,,
iceon_year, iceon_month, iceon_day , iceoff_year, iceoff_month, iceoff_day , duration, season, froze, latitude, longitude, lakename, lakecode, lakeorriver, country, comments
1869,1,7,1869,5,8,121, 1868-69 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1870,1,5,1870,5,12,127, 1869-70 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1871,1,8,1871,5,8,120, 1870-71 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1872,1,5,1872,5,11,127, 1871-72 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1872,12,28,1873,5,10,133, 1872-73 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1874,1,19,1874,5,15,116, 1873-74 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1875,1,9,1875,5,8,119, 1874-75 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1875,12,27,1876,5,9,134, 1875-76 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1876,12,14,1877,5,17,154, 1876-77 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1877,12,23,1878,4,29,127, 1877-78 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1878,12,20,1879,5,26,157, 1878-79 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1880,1,5,1880,5,16,132, 1879-80 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1881,1,16,1881,5,13,117, 1880-81 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1882,1,13,1882,5,10,117, 1881-82 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1883,1,1,1883,5,20,139, 1882-83 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1884,1,13,1884,5,14,122, 1883-84 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1885,1,8,1885,5,11,123, 1884-85 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1886,1,23,1886,5,5,102, 1885-86 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1887,1,15,1887,4,29,104, 1886-87 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1888,1,14,1888,5,8,115, 1887-88 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1889,1,1,1889,5,14,133, 1888-89 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1889,12,31,1890,4,26,116, 1889-90 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1890,12,28,1891,5,11,134, 1890-91 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
